Company,Region,Fiscal Year,Event Date (adjusted),Estimation N,Est_Calendar_Mismatch_N,Alpha,Beta,"CAR[-1,+1]","CAR[-1,+1]_Calendar_Gaps","CAR[-2,+2]","CAR[0,+1]","CAR[0,+5]","CAR[0,+15]","CAR[0,+20]","CAR[0,+30]","CAR[0,+45]","CAR[0,+60]","|CAR|[-1,+1]",n_corporate_tier1plus,Specificity,ESGSentiment,total_sentences,Sentiment,cluster_3d,Leverage,Size,ROA,Revenue_Growth,Cluster1_HighSpec,Cluster0_HighVolLowSpec
Dai-ichi Life Holdings,Japan,2019,2019-08-30,212,9,-0.0007065901036147,0.3039956082954831,0.0160625040970515,1,0.0198407018891936,0.0168142326797887,0.0450799922906273,0.1343373933678129,0.1797344211472936,0.2023996957792009,0.2840271969714469,0.2359021640238626,0.0160625040970515,9.0,1.0,0.4444444444444444,28.0,0.3214285714285714,0.0,14.06392221588322,13.132356807922752,0.0040613544581606,0.9236,0,1
Dai-ichi Life Holdings,Japan,2020,2020-08-31,213,8,0.0001517019623435,0.3469068917828079,0.0453022033102914,0,0.0010408764953027,0.0033916965655694,-0.0010067506526893,-0.0241345598106832,-0.0649682404268355,0.0024392385707644,-0.0050914412133061,0.0469552124861364,0.0453022033102914,36.0,1.3888888888888888,0.3611111111111111,137.0,0.2627737226277372,0.0,14.889145346682954,13.229962970975231,0.0006869389269612,-0.0891,0,1
Dai-ichi Life Holdings,Japan,2021,2021-08-31,213,8,0.0014638486552438,0.4928080713683652,-0.0012596072924884,0,0.0053455651130337,0.0109025172808871,0.0458860559860939,0.0357563097340796,0.0960871835340714,0.0407826137295096,0.008008272521871,-0.062698427103216,0.0012596072924884,46.0,1.2173913043478262,0.391304347826087,184.0,0.2826086956521739,0.0,12.229040646287078,13.262014544426734,0.0056155321150541,10.4202,0,1
Dai-ichi Life Holdings,Japan,2022,2022-09-30,213,8,0.0004885629043961,0.02416650431859,0.0041926484185672,0,0.0089496853083163,-0.0221682109386106,-0.0076910290841698,-0.0077814411975257,0.0021327089383101,0.0297747165654678,0.0569457136853292,0.2417287146830135,0.0041926484185672,5.0,1.6,0.2,77.0,0.3506493506493506,2.0,13.944098098336962,13.202955118085503,0.0067996389795096,4.1453,0,0
Dai-ichi Life Holdings,Japan,2023,2023-09-29,213,8,0.0003040555699925,0.1948391431785779,0.0193452106726466,0,0.0204675175292615,0.0091011601929149,-0.0008158048671871,-0.001516143223598,-0.0102818991114997,-0.0048445844265227,0.0331785395252881,-0.0746937679431524,0.0193452106726466,17.0,1.1764705882352942,0.7058823529411765,102.0,0.5294117647058824,0.0,22.16272180684966,13.048425477895128,0.0029547722928652,7.0891,0,1
MS&AD Insurance Group Holdings,Japan,2013,2013-10-04,212,9,0.0034216038942727,0.0877971906691968,-0.0622417864045593,0,-0.08243419318283,-0.0405455340322047,-0.006658121680326,-0.0392947696791925,-0.0672203547282437,0.0024836423371985,-0.0526037818299958,-0.1108907702142714,0.0622417864045593,6.0,1.1666666666666667,0.1666666666666666,28.0,0.6071428571428571,2.0,6.872213179453259,12.037118970332248,0.0065984122020788,15.0622,0,0
MS&AD Insurance Group Holdings,Japan,2014,2014-10-21,213,8,-0.0002505798774197,0.5166837713453309,0.009954600055481,0,-0.0216328854554744,-0.0192215949529384,-0.0072480484756813,0.1265230665916012,0.1568129965364186,0.3085211208643203,0.3015946600193556,0.2303913327195192,0.009954600055481,5.0,1.4,0.8,30.0,0.8,1.0,6.383809491610396,12.006121956523376,0.0060247697315447,1.9871,1,0
MS&AD Insurance Group Holdings,Japan,2015,2015-10-19,214,7,0.0021246563152206,0.6825552242271299,0.024076204551785,0,0.040206724014292,-0.0080354311793742,0.0297970472583324,0.0570560276490563,0.0451435888136403,-0.0548396173246738,-0.1040204981177138,-0.1767295982913083,0.024076204551785,42.0,1.3571428571428572,0.3095238095238095,182.0,0.2802197802197802,0.0,5.187790451480701,11.961635520436246,0.0078606346406296,7.4756,0,1
MS&AD Insurance Group Holdings,Japan,2018,2018-10-12,213,8,-0.0006446733063739,-0.0291856553860062,-0.0627694168799032,0,-0.0572968156897271,-0.0416582761494556,-0.0310249838949943,-0.0702420390434532,-0.029538190285574,-0.0589929769181719,-0.0868922569590964,-0.0614622344503066,0.0627694168799032,47.0,1.3404255319148937,0.3829787234042553,171.0,0.3625730994152046,0.0,6.57075375289618,12.262309483321555,0.0069204334344977,-2.0638,0,1
MS&AD Insurance Group Holdings,Japan,2020,2020-11-06,213,8,-0.0006938700831677,0.1710523233444857,0.0183625445460328,0,0.076647262702643,0.0259295959807243,0.0621369070841391,0.0845438289079514,0.1257392682580329,0.0921591034198349,0.174525158697522,0.1280866960649542,0.0183625445460328,36.0,1.3055555555555556,0.6388888888888888,146.0,0.4726027397260274,0.0,8.300762474407177,12.279417910861266,0.0124468496777884,-8.6734,0,1
