Company,Year,Total Assets (Million USD),Total Liabilities (Million USD),Total Equity (Million USD),Leverage,Revenue Growth YoY (%),"Net Income, Adj",ROA,ROE,ROE_sign_flip_risk,Size,Region
China Life,2017,445324.2043,395328.0465,49996.1578,7.907168548459937,18.9678,4778.1628,0.01072962743516432,0.0955706000271885,0,13.006557844874157,Asia
China Life,2018,473126.8445,426126.7718,47000.0727,9.066513035414943,-2.477,1723.9736,0.0036437873268888254,0.03668023262440614,0,13.067118801713146,Asia
China Life,2019,535188.8445,476404.0555,58784.789,8.104206268393684,16.2658,8439.3358,0.015768893329390018,0.14356325749506393,0,13.19037494396906,Asia
China Life,2020,651499.2646,581494.2088,70005.0558,8.306460185694188,10.3602,3321.5875,0.005098374903062017,0.047447823047089124,0,13.38703154676666,Asia
China Life,2021,769729.8658,693089.4731,76640.3927,9.043396682647739,2.4699,4356.0069,0.005659137177265027,0.05683695955279207,0,13.553794908640494,Asia
China Life,2022,726244.1655,671889.2239,54354.9416,12.361143331630403,-2.4905,4358.705,0.006001707424388251,0.08018967313176177,0,13.495641553381049,Asia
China Life,2023,796165.0144,748607.4185,47557.5959,15.741069419785369,-57.3271,7262.4845,0.009121833248944127,0.15270924365627994,0,13.58756174786452,Asia
China Life,2024,927411.2941,856001.5892,71409.7049,11.987188441665163,50.4854,15020.6683,0.01619633963437625,0.21034491489685458,0,13.740152429105585,Asia
Chubb,2012,92545.0,65014.0,27531.0,2.3614834186916567,1.299,2795.15,0.030203144416229944,0.10152736914750644,0,11.435450291690817,Europe
Chubb,2013,94510.0,65685.0,28825.0,2.278751084128361,5.0342,3219.6,0.03406623637710295,0.1116947094535993,0,11.456460927989102,Europe
Chubb,2014,98248.0,68661.0,29587.0,2.3206475817081826,4.9102,2395.75,0.024384720299649866,0.08097306249366276,0,11.49525017329022,Europe
Chubb,2015,102306.0,73171.0,29135.0,2.5114467135747383,-1.3772,2523.0,0.0246613101870858,0.08659687660888965,0,11.535723601246207,Europe
Chubb,2016,159786.0,111511.0,48275.0,2.30991196271362,61.7045,4472.0,0.02798743319189416,0.0926359399274987,0,11.981590698964483,Europe
Chubb,2017,167022.0,115850.0,51172.0,2.263933401078715,2.4759,3168.5,0.018970554777214977,0.06191862737434534,0,12.025880819249345,Europe
Chubb,2018,167771.0,117459.0,50312.0,2.3346120209890286,3.7626,4232.0,0.025224860077128944,0.08411512164096041,0,12.0303552332879,Europe
Chubb,2019,176943.0,121612.0,55331.0,2.1978999114420485,4.0367,4527.0,0.02558451026601787,0.08181670311398674,0,12.08358292579361,Europe
Chubb,2020,190774.0,131333.0,59441.0,2.2094682121767804,5.1158,3235.0,0.016957237359388595,0.05442371427129422,0,12.158844760367133,Europe
Chubb,2021,200054.0,140340.0,59714.0,2.350202632548481,9.0951,5516.0,0.02757255541003929,0.09237364772080249,0,12.206342609086734,Europe
Chubb,2022,199017.0,148498.0,50519.0,2.9394485243175836,10.7784,6509.0,0.03270574875513147,0.12884261367010433,0,12.201145527193617,Europe
Chubb,2023,230682.0,166991.0,63691.0,2.6218932031213202,14.8451,9030.0,0.039144796733165135,0.14177827322541647,0,12.34879541771084,Europe
Chubb,2024,246548.0,178154.0,68394.0,2.6048191361815363,10.1226,9066.0,0.03677174424452845,0.13255548732344943,0,12.41531197967453,Europe
Daichi,2012,405042.5995,393040.3606,12002.2389,32.74725356449954,10.3303,348.5232,0.0008604606044653829,0.029038182201155817,0,12.911747524507849,Asia
Daichi,2013,378841.1271,361339.3229,17501.8043,20.645832664235655,10.3841,396.9201,0.001047721779940824,0.022678810321287844,0,12.844872206470233,Asia
Daichi,2014,365821.0537,346925.0315,18896.0221,18.359685952103117,14.812,997.665,0.0027271940472244067,0.05279762029914222,0,12.809899568504097,Asia
Daichi,2015,415483.1346,385554.6061,29928.5286,12.882511240462385,22.4333,1350.488,0.0032504038973812056,0.04512376863057678,0,12.9371973018401,Asia
Daichi,2016,443777.0844,417706.3378,26070.7467,16.022031996498203,-2.0217,1699.4674,0.0038295519524126197,0.0651867558515307,0,13.003077653176792,Asia
Daichi,2017,467036.6544,438851.7114,28184.943,15.570431041850963,-11.1046,2205.0697,0.004721406080712966,0.07823573388103003,0,13.054163022650156,Asia
Daichi,2018,504641.5741,469344.3513,35297.2227,13.296920137005566,8.6375,3152.9164,0.00624783323812163,0.08932477285245448,0,13.131603702005275,Asia
Daichi,2019,505021.7658,471496.5153,33525.2505,14.063922215883219,0.9236,2051.0724,0.004061354458160663,0.06117992764886276,0,13.132356807922752,Asia
Daichi,2020,556800.8814,521758.0349,35042.8465,14.889145346682954,-0.0891,382.4882,0.0006869389269612605,0.010914872454781892,0,13.229962970975231,Asia
Daichi,2021,574936.3077,531476.1414,43460.1664,12.229040646287078,10.4202,3228.5733,0.005615532115054142,0.0742881025876606,0,13.262014544426734,Asia
Daichi,2022,541964.1412,505698.0421,36266.099,13.944098098336962,4.1453,3685.1605,0.006799638979509665,0.10161447196181755,0,13.202955118085503,Asia
Daichi,2023,464364.6833,444316.7508,20047.9325,22.16272180684966,7.0891,1372.0919,0.0029547722928652785,0.06844056862222575,0,13.048425477895128,Asia
Daichi,2024,446340.9265,420685.6463,25655.2802,16.397624310491842,24.4582,2246.9476,0.005034150951873332,0.08758226698299712,0,13.00883834818312,Asia
MSAD,2012,175931.3082,157631.2477,18300.0605,8.613700905524329,10.5894,-2042.6583,-0.011610544597769324,-0.11162030311320556,0,12.077848903517456,Asia
MSAD,2013,168909.6052,147453.1734,21456.4318,6.872213179453259,15.0622,1114.5352,0.006598412202078844,0.05194410750067027,0,12.037118970332248,Asia
MSAD,2014,163754.2253,141576.7537,22177.4716,6.383809491610396,1.9871,986.5815,0.006024769731544754,0.04448575192854717,0,12.006121956523376,Asia
MSAD,2015,156629.0454,131316.4485,25312.5969,5.187790451480701,7.4756,1231.2037,0.007860634640629688,0.04863995997186681,0,11.961635520436246,Asia
MSAD,2016,180476.88,156252.2222,24224.6578,6.450131246023215,4.6537,1688.052,0.009353286692456119,0.06968321344048047,0,12.103357959908363,Asia
MSAD,2017,190767.2267,166201.3117,24565.915,6.765524984516147,8.1443,2177.3376,0.011413583127798334,0.08863246494176992,0,12.158809255422835,Asia
MSAD,2018,211569.6385,183623.9879,27945.6505,6.57075375289618,-2.0638,1464.1536,0.006920433434497739,0.05239289742065586,0,12.262309483321557,Asia
MSAD,2019,208833.9713,183754.5545,25079.4168,7.326906999687489,5.5102,1691.7091,0.008100737104547895,0.06745408449848803,0,12.249294819553704,Asia
MSAD,2020,215220.4027,192080.321,23140.0816,8.300762474407177,-8.6734,2678.816,0.01244684967778847,0.1157651924615512,0,12.279417910861266,Asia
MSAD,2021,218267.4442,190000.0,28267.4442,6.721513224036009,-3.1596,1321.4622,0.006054325714233108,0.046748556065072194,0,12.293476398113764,Asia
MSAD,2022,205938.1869,178768.4847,27169.7022,6.579699820927739,3.9217,2303.2434,0.011184149159856471,0.08477249338419321,0,12.235331339151397,Asia
MSAD,2023,183399.7439,159753.5814,23646.1625,6.756004548306729,1.235,1448.2902,0.00789690415701829,0.06124842455937618,0,12.119423442402217,Asia
MSAD,2024,178166.8451,148338.9175,29827.9276,4.973155342511962,25.0241,2567.3083,0.014409573782142478,0.08607062262012465,0,12.090475722275352,Asia
MetLife,2012,836781.0,771823.0,64958.0,11.881877520859632,6.2413,6195.75,0.007404267066293331,0.09538086147972537,0,13.637317666490087,N. America
MetLife,2013,885296.0,822313.0,62983.0,13.056110378991157,1.2155,6354.85,0.007178220617736893,0.10089786132765985,0,13.69367733134653,N. America
MetLife,2014,902337.0,829678.0,72659.0,11.41879189088757,1.2893,8127.6,0.009007277768727206,0.11185950811324132,0,13.712743343459046,N. America
MetLife,2015,877933.0,809437.0,68496.0,11.817288600794207,-16.7475,2201.65,0.0025077653989541344,0.03214275286148097,0,13.685325559910524,N. America
MetLife,2016,898764.0,831062.0,67702.0,12.275294673717172,1.7553,3433.55,0.0038203021037780775,0.05071563617027562,0,13.708775765086612,N. America
MetLife,2017,719892.0,661022.0,58870.0,11.228503482249023,3.3453,5355.7,0.007439588160446289,0.09097502972651605,0,13.486856479741112,N. America
MetLife,2018,687538.0,634580.0,52958.0,11.982703274292836,6.6165,5338.29,0.00776435629739738,0.10080233392499717,0,13.440872379722656,N. America
MetLife,2019,740463.0,674081.0,66382.0,10.154575035401162,1.7214,4201.923,0.005674723787684192,0.06329913229489921,0,13.515030945202609,N. America
MetLife,2020,795146.0,720329.0,74817.0,9.627878690671906,-2.8374,4590.035,0.005772568811262334,0.061350161059652214,0,13.586281024574019,N. America
MetLife,2021,759708.0,691959.0,67749.0,10.213567727936944,7.7714,6982.0635,0.009190456728111328,0.10305780897135014,0,13.540689427908422,N. America
MetLife,2022,663072.0,632947.0,30125.0,21.010688796680498,0.6994,7011.4522,0.010574194355967376,0.23274530124481327,0,13.404638860556808,N. America
MetLife,2023,687584.0,657331.0,30253.0,21.72779559051995,-0.57,5410.3112,0.007868582165960814,0.1788355270551681,0,13.440939282877455,N. America
MetLife,2024,677457.0,649754.0,27703.0,23.45428292964661,2.6771,6145.7186,0.009071747136718641,0.22184307114752916,0,13.426101361087088,N. America
Munich RE,2012,341031.5952,304820.3469,36211.2483,8.41783592696527,9.5061,4342.8547,0.012734464375516607,0.11993109610639963,0,12.739730406518941,Europe
Munich RE,2013,350670.8168,314560.1836,36110.6332,8.711012677562243,-3.4829,4478.7308,0.012771894852471797,0.12402803282884557,0,12.767603218522638,Europe
Munich RE,2014,330310.64,293660.95,36649.69,8.012644854567665,-0.6245,5192.9987,0.015721560468049105,0.14169284105813718,0,12.70778882399962,Europe
