Company,Year,Market Capitalization (Million USD),Total Assets (Million USD),Total Liabilities (Million USD),Tobins Q,Region
Prudentials,2021,40729.2332,937582.0,874974.0,0.9766646898084648,N. America
Prudentials,2019,37386.5499,896552.0,832833.0,0.9706291993102464,N. America
Prudentials,2017,48585.0544,831921.0,777577.0,0.9930775330830692,N. America
Prudentials,2018,33493.6005,815078.0,766047.0,0.9809375305185515,N. America
Prudentials,2012,24800.2295,709235.0,670123.0,0.9798208344201852,N. America
Prudentials,2016,44701.4884,783962.0,737874.0,0.9982314045833854,N. America
Prudentials,2014,41144.2363,766655.0,724306.0,0.9984285451735135,N. America
Prudentials,2015,36398.5225,757255.0,715332.0,0.9927046008279905,N. America
Prudentials,2013,42702.9553,731781.0,695900.0,1.0093224001443055,N. America
Sompo,2024,20819.7884,98022.5879,79067.6712,1.0190249180311632,Asia
Sompo,2023,13175.8312,100559.4411,86104.8128,0.9872831721615446,Asia
Sompo,2022,15165.6907,113424.1115,96635.7848,0.9856940823380398,Asia
Sompo,2021,13612.9044,118602.8026,100239.472,0.9599467626745609,Asia
Sompo,2019,13778.1145,108497.3729,92428.8435,0.9788896741111783,Asia
Sompo,2018,15342.1133,112486.5656,94446.5826,0.9760160719139246,Asia
Sompo,2017,14416.2289,107188.3479,90397.9427,0.9778504254752116,Asia
Sompo,2016,11453.0529,90548.8533,75856.9511,0.9642309186481989,Asia
Sompo,2015,12705.4456,85480.8754,70225.7524,0.9701725399035864,Asia
Sompo,2014,10582.3728,92168.4195,78680.9935,0.9684810348733385,Asia
Sompo,2013,8644.8935,97412.4177,83790.1719,0.9489043346062029,Asia
Sompo,2012,9287.5015,107628.9241,95519.7991,0.9737837804884273,Asia
Sompo,2020,11294.0237,111132.2694,96170.4583,0.9669961981357684,Asia
Swiss RE,2012,24769.8301,215785.0,181759.0,0.9571046648284172,Europe
Swiss RE,2013,31637.2737,213520.0,180543.0,0.9937255231360059,Europe
Swiss RE,2016,30925.0346,215065.0,179349.0,0.977723174854114,Europe
Swiss RE,2017,29484.3369,222526.0,188232.0,0.978386062302832,Europe
Swiss RE,2018,27462.9082,207570.0,178843.0,0.9939100457676928,Europe
Swiss RE,2019,32635.2601,238567.0,207530.0,1.0066994181927928,Europe
Swiss RE,2024,42627.4625,127229.0,103989.0,1.1523824167446102,Europe
Swiss RE,2020,27274.3988,182622.0,155364.0,1.000089796410071,Europe
Swiss RE,2021,28522.434,181567.0,157889.0,1.026681247142928,Europe
Swiss RE,2022,27108.8929,170676.0,157867.0,1.083783853031475,Europe
Swiss RE,2023,32722.4996,133861.0,111322.0,1.076075179477219,Europe
Swiss RE,2015,33483.9906,196135.0,162529.0,0.9993779315267545,Europe
Swiss RE,2014,28940.4329,204461.0,168420.0,0.9652717775028001,Europe
Talanx,2013,8592.5625,183204.7907,167745.9428,0.9625212562741132,Europe
Talanx,2014,7729.7174,178230.58,162621.58,0.9557916346341913,Europe
Talanx,2015,7841.0235,165989.016,151394.8914,0.9593159760643439,Europe
Talanx,2016,8470.6974,165193.4422,149744.1966,0.9577552952038432,Europe
Talanx,2017,10354.3267,190424.8734,173324.7806,0.9645751840105988,Europe
Talanx,2024,21953.8632,186715.6231,167575.1476,1.015067768049025,Europe
Talanx,2018,8627.2147,185737.6976,169406.0004,0.9585195541909204,Europe
Talanx,2019,12541.2203,199420.3026,180768.9336,0.969360448157298,Europe
Talanx,2020,9815.2726,221315.2875,200411.76,0.949898377896737,Europe
Talanx,2021,12259.1691,224900.8264,204468.6494,0.96365950258687,Europe
Talanx,2022,12026.8611,169746.8569,154394.7806,0.98041074067157,Europe
Talanx,2012,7161.2196,172022.895,153281.8353,0.9326843086787955,Europe
Talanx,2023,18217.4736,186456.06,167875.1784,0.9980509724382248,Europe
Tokio Marine,2019,34202.0279,203407.0777,170873.5307,1.0082026688494135,Asia
Tokio Marine,2014,23060.4534,183836.2278,157260.9489,0.9808806700286308,Asia
Tokio Marine,2015,28551.4595,174153.1471,144060.1501,0.9911483798847756,Asia
Tokio Marine,2016,25491.5822,194269.5822,163045.9733,0.9704944714705832,Asia
Tokio Marine,2017,31646.0871,203104.8693,171034.4354,0.9979107010015934,Asia
Tokio Marine,2018,32337.839,215872.1051,179762.7471,0.9825289191567718,Asia
Tokio Marine,2020,32051.0433,234310.3173,202517.0811,1.001100280614916,Asia
Tokio Marine,2021,32999.6168,232938.8663,199282.0541,0.9971786786359921,Asia
Tokio Marine,2022,39743.6428,224135.0115,190632.0089,1.0278432189519842,Asia
Tokio Marine,2023,38196.4379,206355.4869,179234.0062,1.0536693129239008,Asia
Tokio Marine,2024,61315.3204,202186.5517,167932.3817,1.1338424844405712,Asia
Tokio Marine,2013,21573.3401,191354.723,166273.1798,0.9816664932801268,Asia
Tokio Marine,2012,21078.2221,197730.3643,175251.0589,0.9929141722620092,Asia
Travelers,2018,31578.075,104233.0,81339.0,1.083314065603024,N. America
Travelers,2023,43469.818,125978.0,101057.0,1.1472385495880233,N. America
Travelers,2024,54585.674,133189.0,105325.0,1.200629736689967,N. America
Travelers,2012,27104.868,104938.0,79533.0,1.0161987840439117,N. America
Travelers,2013,29171.988,103812.0,79016.0,1.0421530073594574,N. America
Travelers,2015,33395.274,100184.0,76586.0,1.0977928012457079,N. America
Travelers,2016,34228.632,100245.0,77024.0,1.109807292134271,N. America
Travelers,2014,34104.87,103078.0,78242.0,1.0899209336618871,N. America
Travelers,2019,34990.725,110122.0,84179.0,1.0821609215234014,N. America
Travelers,2020,35429.388,116764.0,87563.0,1.0533416806549964,N. America
Travelers,2021,37730.916,120466.0,91579.0,1.0734142081583185,N. America
Travelers,2022,43516.429,115717.0,94157.0,1.1897424665347356,N. America
Travelers,2017,36812.696,103483.0,79752.0,1.126413961713518,N. America
Zurich,2019,61366.9536,404688.0,367711.0,1.0602685367492983,Europe
Zurich,2022,71179.8118,335412.0,308482.0,1.1319267402478148,Europe
Zurich,2021,64934.0652,435826.0,396657.0,1.059117779113683,Europe
Zurich,2020,62812.3191,439299.0,399453.0,1.0522794704745515,Europe
Zurich,2018,43838.6556,395342.0,363539.0,1.0304436553667458,Europe
Zurich,2012,39176.4049,408831.0,371957.0,1.005631678859969,Europe
Zurich,2016,41184.4802,382679.0,350206.0,1.0227644584625757,Europe
Zurich,2015,38932.5361,381973.0,349069.0,1.015782623640938,Europe
Zurich,2014,46748.5806,406529.0,369699.0,1.024398211689695,Europe
Zurich,2013,42986.021,415053.0,380319.0,1.0198818488241261,Europe
Zurich,2023,75426.6912,361382.0,335103.0,1.135999278325982,Europe
Zurich,2017,46104.5657,422065.0,387172.0,1.0265635996825133,Europe
Zurich,2024,84701.54,358005.0,331067.0,1.1613484169215513,Europe
