outcome,model,fixed_effects,covariance,term,N,firms,coefficient,SE,p_value,CI95_low,CI95_high,R_squared
"|CAR|[-1,+1]",M3b_specificity_ESG,pooled,firm_cluster_CR1,ESG_sentiment,62,7,0.010387671753668165,0.004487711209833527,0.05988265097340977,-0.0005933619901896652,0.021368705497525994,0.018049731050926332
"|CAR|[-1,+1]",M3b_specificity_ESG,firm_FE,HC3,Specificity_mean,61,6,0.007722730874649163,0.012338597436393664,0.5340666494678141,-0.01702536152123675,0.032470823270535076,0.07554570313838693
"|CAR|[-1,+1]",M3b_specificity_ESG,firm_FE,HC3,ESG_sentiment,61,6,0.00799464821472659,0.013104986432874853,0.5444380612716047,-0.018290625841707146,0.03427992227116033,0.07554570313838693
"|CAR|[-1,+1]",M3b_specificity_ESG,firm_FE,firm_cluster_CR1,Specificity_mean,61,6,0.007722730874649163,0.020443079139197545,0.7211086343234248,-0.044827877025047716,0.06027333877434604,0.07554570313838693
"|CAR|[-1,+1]",M3b_specificity_ESG,firm_FE,firm_cluster_CR1,ESG_sentiment,61,6,0.00799464821472659,0.007016832890145794,0.3061800915036117,-0.010042694956377649,0.02603199138583083,0.07554570313838693
"|CAR|[-1,+1]",M3b_specificity_ESG,firm_year_FE,HC3,Specificity_mean,61,6,0.010749239985427886,0.015979219635645706,0.504821918828333,-0.02149813078658592,0.04299661075744169,0.3809375753358202
"|CAR|[-1,+1]",M3b_specificity_ESG,firm_year_FE,HC3,ESG_sentiment,61,6,-0.00022000691730708188,0.014727563753506007,0.9881520256086213,-0.029941433855349683,0.029501420020735518,0.3809375753358202
"|CAR|[-1,+1]",M3b_specificity_ESG,firm_year_FE,firm_cluster_CR1,Specificity_mean,61,6,0.010749239985427886,0.01539834663567528,0.516252347440465,-0.02883347017507054,0.05033195014592631,0.3809375753358202
"|CAR|[-1,+1]",M3b_specificity_ESG,firm_year_FE,firm_cluster_CR1,ESG_sentiment,61,6,-0.00022000691730708188,0.008301276647606187,0.9798815601885743,-0.021559117880235467,0.0211191040456213,0.3809375753358202
"|CAR|[-1,+1]",M4_interaction_overall,pooled,HC3,Specificity_mean,62,7,-0.007048238168811936,0.019111593747754282,0.7136242187576786,-0.045304249523572454,0.031207773185948584,0.0262205539389333
"|CAR|[-1,+1]",M4_interaction_overall,pooled,HC3,Overall_sentiment,62,7,0.0036999359738678394,0.054761632432701976,0.9463647867873834,-0.10591738112700651,0.11331725307474218,0.0262205539389333
"|CAR|[-1,+1]",M4_interaction_overall,pooled,HC3,Specificity_mean:Overall_sentiment,62,7,0.008992092119805888,0.045637165630535534,0.8444894546108254,-0.08236062024966911,0.1003448044892809,0.0262205539389333
"|CAR|[-1,+1]",M4_interaction_overall,pooled,firm_cluster_CR1,Specificity_mean,62,7,-0.007048238168811936,0.02202452560321835,0.7598055453126691,-0.060940310883172935,0.046843834545549065,0.0262205539389333
"|CAR|[-1,+1]",M4_interaction_overall,pooled,firm_cluster_CR1,Overall_sentiment,62,7,0.0036999359738678394,0.08618030280841647,0.967148422748368,-0.20717566830330936,0.21457554025104503,0.0262205539389333
"|CAR|[-1,+1]",M4_interaction_overall,pooled,firm_cluster_CR1,Specificity_mean:Overall_sentiment,62,7,0.008992092119805888,0.07215518313558639,0.9048935515885483,-0.16756528061619677,0.18554946485580856,0.0262205539389333
"|CAR|[-1,+1]",M4_interaction_overall,firm_FE,HC3,Specificity_mean,61,6,-0.008624840864440377,0.027476275388420714,0.7548517827936293,-0.06376002108760989,0.04651033935872914,0.09780461071626956
