Company,Fiscal Year,Event Date (adjusted),Estimation N,Alpha,Beta,"CAR[-1,+1]","CAR[-2,+2]","CAR[0,+1]","|CAR|[-1,+1]",Specificity source company,Specificity_mean,total_sent,ESGSentiment_Corporate,Corporate_ESG_share,Verified_ESG_share,_merge,exclusion_reason,regression_eligible,COVID_period,Specificity_z,log_total_sent
"MetLife, Inc.",2015,2016-04-08,221.0,-0.0003675516238864,1.0628403902638164,-0.0047846951277911,-0.0125934903889711,0.0047420552013125,0.0047846951277911,,,,,,,left_only,No narrative firm-year output,False,False,,
"MetLife, Inc.",2016,2017-04-07,221.0,0.0003642217789382,1.4047416086125142,0.0143967083344639,0.0050800653801364,0.0006490326989505,0.0143967083344639,,,,,,,left_only,No narrative firm-year output,False,False,,
"MetLife, Inc.",2017,2018-04-06,221.0,-0.0005474861333262,1.0400084974153478,-0.0034866646580934,-0.0004445647770677,0.000430680819771,0.0034866646580934,,,,,,,left_only,No narrative firm-year output,False,False,,
"MetLife, Inc.",2018,2019-04-05,221.0,-1.1111158032394958e-05,1.175126164979572,0.011758367431452,0.0040820242171197,0.0003429432254333,0.011758367431452,,,,,,,left_only,No narrative firm-year output,False,False,,
"MetLife, Inc.",2019,2020-04-03,221.0,6.188256992739567e-05,1.232878506062132,0.0140576806468966,0.0112834527756819,0.0340969922102483,0.0140576806468966,,,,,,,left_only,No narrative firm-year output,False,True,,
"MetLife, Inc.",2020,2021-04-09,221.0,0.0003215997824919,1.5290257888372882,-0.0029128737920649,-0.0135513529793554,0.0156141323446299,0.0029128737920649,,,,,,,left_only,No narrative firm-year output,False,False,,
"MetLife, Inc.",2021,2022-04-08,221.0,0.0005077040976733,1.087168096695338,0.0206040996798264,0.0313467318663997,0.0332558383203032,0.0206040996798264,,,,,,,left_only,No narrative firm-year output,False,False,,
"MetLife, Inc.",2022,2023-04-10,221.0,0.0006597604865546,0.7999753151462893,0.018079158841122,0.0403120173996066,0.0146148459679917,0.018079158841122,,,,,,,left_only,No narrative firm-year output,False,False,,
"MetLife, Inc.",2023,2024-04-05,221.0,5.8813131561215475e-05,1.0343885860379631,0.0041181295005268,-0.0074468138585925,-0.0015566478024273,0.0041181295005268,,,,,,,left_only,No narrative firm-year output,False,False,,
"Prudential Financial, Inc.",2012,2013-03-22,221.0,-0.0004606843357131,0.454684766314992,-0.0153659193534793,0.0022112244166046,0.005557975488496,0.0153659193534793,,,,,,,left_only,No narrative firm-year output,False,False,,
