Company,Fiscal Year,Event Date (adjusted),Estimation N,Alpha,Beta,"CAR[-1,+1]","CAR[-2,+2]","CAR[0,+1]","|CAR|[-1,+1]","CAR[0,+5]","CAR[0,+20]",total_sentences,positive_share,negative_share,Overall_sentiment,ESG_sentences,ESG_positive_share,ESG_negative_share,ESG_sentiment,Specificity_mean,Specificity_all_flagged_mean,specificity_sentences_classified,specificity_primary_sentences,source_company,_merge,exclusion_reason,regression_eligible,COVID_period
Chubb,2020,2021-04-01,221,9.720755988200192e-06,1.1020346120093367,-0.0406167832408406,-0.0211290836023995,-0.0148626823096486,0.0406167832408406,-0.020316754956384436,0.037015958190166044,476.0,0.3550420168067227,0.1869747899159664,0.1680672268907563,99.0,0.2929292929292929,0.1818181818181818,0.1111111111111111,1.3541666666666667,1.101010101010101,99.0,48.0,Chubb,both,,True,False
Chubb,2021,2022-04-04,221,0.0010367293338807,0.8227914651660357,-0.0091951299117113,-0.0055837815219712,-0.0163744985197469,0.0091951299117113,0.01324461349126414,0.005116085729306946,512.0,0.40234375,0.140625,0.26171875,128.0,0.265625,0.140625,0.125,1.5,1.203125,128.0,62.0,Chubb,both,,True,False
Chubb,2022,2023-04-03,221,0.0001920334485241,0.5880557227183645,0.0023317109499251,0.0037534371100838,0.0057775543817102,0.0023317109499251,0.01754047203618679,0.025307167545218612,421.0,0.4513064133016627,0.1140142517814726,0.33729216152019,57.0,0.3333333333333333,0.1403508771929824,0.1929824561403508,1.5769230769230769,1.105263157894737,57.0,26.0,Chubb,both,,True,False
Chubb,2023,2024-04-01,221,0.0009825584803256,0.3511112080885383,-0.0078814643946331,-0.0101808984541526,-0.0093362245876383,0.0078814643946331,-0.02625233311261243,-0.04950382605732649,439.0,0.3234624145785877,0.1389521640091116,0.1845102505694761,61.0,0.1639344262295081,0.1147540983606557,0.0491803278688524,1.4193548387096775,1.0327868852459017,61.0,31.0,Chubb,both,,True,False
"MetLife, Inc.",2012,2013-04-12,221,-1.560223870162468e-06,0.46948897692728,-0.0338861612123293,-0.0067869397657647,-0.0210834272217446,0.0338861612123293,-0.029933628178275218,0.08807776374702643,102.0,0.5098039215686274,0.1176470588235294,0.392156862745098,11.0,0.2727272727272727,0.0909090909090909,0.1818181818181818,1.2222222222222223,1.0909090909090908,11.0,9.0,MET,both,,True,False
"MetLife, Inc.",2013,2014-04-11,221,0.0014738390961172,0.3297049933361121,-0.0608907403342545,-0.0369026167952848,-0.0217854950063568,0.0608907403342545,0.004526211540984123,0.002670482834519263,96.0,0.4791666666666667,0.1354166666666666,0.34375,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,MET,both,specificity undefined,False,False
"MetLife, Inc.",2014,2015-04-10,221,-0.0001744980763416,1.1129899698937085,0.0013783104047748,-0.0158467893744483,-0.0066935806845046,0.0013783104047748,-0.016348712550119333,0.004110719160460928,87.0,0.5287356321839081,0.1494252873563218,0.3793103448275862,,,,,,,,,MET,both,specificity undefined,False,False
"MetLife, Inc.",2015,2016-04-08,221,-0.0003675516238864,1.0628403902638164,-0.0047846951277911,-0.0125934903889711,0.0047420552013125,0.0047846951277911,0.032523254791903995,0.026845077925358087,,,,,,,,,,,,,,left_only,missing firm-year narrative output,False,False
"MetLife, Inc.",2016,2017-04-07,221,0.0003642217789382,1.4047416086125142,0.0143967083344639,0.0050800653801364,0.0006490326989505,0.0143967083344639,-0.015181536309157154,-0.033143424671082056,,,,,,,,,,,,,,left_only,missing firm-year narrative output,False,False
"MetLife, Inc.",2017,2018-04-06,221,-0.0005474861333262,1.0400084974153478,-0.0034866646580934,-0.0004445647770677,0.000430680819771,0.0034866646580934,0.018860037482847106,0.02067418327259882,,,,,,,,,,,,,,left_only,missing firm-year narrative output,False,False
