Company Name,Year,total_sent,E_sent,S_sent,G_sent,E_ratio,S_ratio,G_ratio
Daichi,2016,63,1,16,1,0.015873015873015872,0.25396825396825395,0.015873015873015872
Daichi,2017,39,1,8,0,0.02564102564102564,0.20512820512820512,0.0
Daichi,2018,122,1,53,0,0.00819672131147541,0.4344262295081967,0.0
Daichi,2019,28,1,13,0,0.03571428571428571,0.4642857142857143,0.0
Daichi,2020,137,15,47,3,0.10948905109489052,0.34306569343065696,0.021897810218978103
Daichi,2021,184,13,65,7,0.07065217391304347,0.3532608695652174,0.03804347826086957
Daichi,2022,77,1,9,0,0.012987012987012988,0.11688311688311688,0.0
Daichi,2023,102,3,22,2,0.029411764705882353,0.21568627450980393,0.0196078431372549
Generali,2012,12,0,2,2,0.0,0.16666666666666666,0.16666666666666666
Generali,2013,17,0,1,1,0.0,0.058823529411764705,0.058823529411764705
Generali,2014,24,1,4,1,0.041666666666666664,0.16666666666666666,0.041666666666666664
Generali,2015,22,1,2,0,0.045454545454545456,0.09090909090909091,0.0
Generali,2016,18,1,2,0,0.05555555555555555,0.1111111111111111,0.0
Generali,2017,21,2,6,0,0.09523809523809523,0.2857142857142857,0.0
Generali,2018,25,4,7,2,0.16,0.28,0.08
Generali,2019,33,7,10,1,0.21212121212121213,0.30303030303030304,0.030303030303030304
Generali,2020,30,5,11,0,0.16666666666666666,0.36666666666666664,0.0
Generali,2021,30,5,11,0,0.16666666666666666,0.36666666666666664,0.0
Generali,2022,38,12,10,1,0.3157894736842105,0.2631578947368421,0.02631578947368421
Generali,2023,22,5,8,1,0.22727272727272727,0.36363636363636365,0.045454545454545456
MET,2012,102,0,10,1,0.0,0.09803921568627451,0.00980392156862745
MET,2013,96,0,1,0,0.0,0.010416666666666666,0.0
MET,2014,87,0,0,0,0.0,0.0,0.0
MSAD,2012,82,11,3,0,0.13414634146341464,0.036585365853658534,0.0
MSAD,2013,28,2,6,0,0.07142857142857142,0.21428571428571427,0.0
MSAD,2014,30,1,6,1,0.03333333333333333,0.2,0.03333333333333333
MSAD,2015,182,15,40,5,0.08241758241758242,0.21978021978021978,0.027472527472527472
MSAD,2016,141,22,15,4,0.15602836879432624,0.10638297872340426,0.028368794326241134
MSAD,2017,146,19,56,6,0.13013698630136986,0.3835616438356164,0.0410958904109589
MSAD,2018,171,31,56,1,0.18128654970760233,0.32748538011695905,0.005847953216374269
MSAD,2019,133,31,49,2,0.23308270676691728,0.3684210526315789,0.015037593984962405
MSAD,2020,146,16,35,1,0.1095890410958904,0.23972602739726026,0.00684931506849315
MSAD,2021,155,23,57,0,0.14838709677419354,0.36774193548387096,0.0
MSAD,2022,143,26,52,2,0.18181818181818182,0.36363636363636365,0.013986013986013986
MSAD,2023,127,26,42,3,0.2047244094488189,0.33070866141732286,0.023622047244094488
Munich RE,2012,44,6,0,0,0.13636363636363635,0.0,0.0
Munich RE,2013,33,1,0,0,0.030303030303030304,0.0,0.0
Munich RE,2014,40,3,4,0,0.075,0.1,0.0
Munich RE,2015,46,7,0,0,0.15217391304347827,0.0,0.0
Munich RE,2016,42,2,2,0,0.047619047619047616,0.047619047619047616,0.0
Munich RE,2017,56,2,1,0,0.03571428571428571,0.017857142857142856,0.0
Munich RE,2018,49,1,3,0,0.02040816326530612,0.061224489795918366,0.0
Munich RE,2019,60,13,2,1,0.21666666666666667,0.03333333333333333,0.016666666666666666
